科目区分,修得済単位,平均点,科目コード▼/▲,授業科目名▼/▲,単位,成績▼/▲,Q,修得時期,修得時期※1
文系教養科目,17.0,,,,,,,,
英語科目,17.0,,,,,,,,
第二外国語科目,4.0,,,,,,,,
日本語・日本文化科目,0.0,,,,,,,,
教職科目  ※,0.0,,,,,,,,
広域教養科目,10.0,,,,,,,,
理工系教養科目,28.0,,,,,,,,
小計,76.0,,,,,,,,
合計,164.0,,,,,,,,
教養科目群,,90.83,,,,,,,
専門科目群,,95.16,,,,,,,
合計,,92.7,,,,,,,
専門科目,84.0,,,,,,,,
小計,84.0,,,,,,,,
研究関連科目,4.0,,,,,,,,
小計,4.0,,,,,,,,
合計,10.0,,,,,,,,
,,,LAH.C301,教養卒論,0-2-0,合格,4Q,2021後学期,
,,,LAH.S301,法学（憲法）Ｃ,2-0-0,93,4Q,2021後学期,
,,,LAH.T201,統計学Ｂ,2-0-0,94,2Q,2021前学期,
,,,LAH.H308,教養特論：ジェンダー,2-0-0,85,4Q,2020後学期,
,,,LAH.T204,教養特論：大学史,2-0-0,84,1Q,2020前学期,
,,,LAH.S215,教養特論：データとトピックで知る日本経済,2-0-0,94,2Q,2020前学期,
,,,LAH.S108,教養特論：現代社会の課題とコミュニケーション,1-0-0,92,3Q,2019後学期,
,,,LAH.T106,科学哲学Ａ,1-0-0,75,4Q,2019後学期,
,,,LAH.C101,東工大立志プロジェクト,1-1-0,合格,1Q,2019前学期,
,,,LAH.H107,コミュニケーション論Ａ,1-0-0,99,2Q,2019前学期,
,,,LAE.E155,TOEFL対策セミナー（リーディング＆ライティング）第一,0-1-0,91,1Q,2021前学期,
,,,LAE.E311,英語第九,0-1-0,合格,1Q,2021前学期,
,,,LAE.E156,TOEFL対策セミナー（リーディング＆ライティング）第二,0-1-0,83,2Q,2021前学期,
,,,LAE.E181,英語スピーキング演習GI,0-2-0,89,2Q,2021前学期,
,,,LAE.E213,英語第七,0-1-0,90,3Q,2020後学期,
,,,LAE.E214,英語第八,0-1-0,95,4Q,2020後学期,
,,,LAE.E161,TOEIC対策セミナー第一,0-1-0,94,1Q,2020前学期,
,,,LAE.E211,英語第五,0-1-0,90,1Q,2020前学期,
,,,LAE.E162,TOEIC対策セミナー第二,0-1-0,94,2Q,2020前学期,
,,,LAE.E212,英語第六,0-1-0,89,2Q,2020前学期,
,,,LAE.E113,英語第三,0-1-0,77,3Q,2019後学期,
,,,LAE.E153,TOEFL対策セミナー（リスニング＆スピーキング）第三,0-1-0,94,3Q,2019後学期,
,,,LAE.E114,英語第四,0-1-0,76,4Q,2019後学期,
,,,LAE.E154,TOEFL対策セミナー（リスニング＆スピーキング）第四,0-1-0,94,4Q,2019後学期,
,,,LAE.E111,英語第一,0-1-0,78,1Q,2019前学期,
,,,LAE.E112,英語第二,0-1-0,76,2Q,2019前学期,
,,,LAL.C203,中国語初級３,0-1-0,90,3Q,2020後学期,
,,,LAL.C204,中国語初級４,0-1-0,88,4Q,2020後学期,
,,,LAL.C201,中国語初級１,0-1-0,90,1Q,2020前学期,
,,,LAL.C202,中国語初級２,0-1-0,90,2Q,2020前学期,
,,,LAW.X206,技術経営IV,0.5-0.5-0,85,4Q,2021後学期,
,,,LAW.X204,技術経営II,1-0-0,90,2Q,2021前学期,
,,,LAW.X202,囲碁で学ぶ実践力,1-1-0,94,3～4Q,2020後学期,
,,,LAW.W111,健康科学演習,0-1-0,84,3Q,2019後学期,
,,,LAW.W131,生涯ウェルネス実習,0-0-1,86,4Q,2019後学期,
,,,LAW.X101,グローバル理工人入門,1-1-0,96,4Q,2019後学期,
,,,LAW.W101,健康科学概論,1-0-0,86,2Q,2019前学期,
